id,nome_lutador,apelido,sexo,categoria,win,lose,draw,precisao_striking,sig_pe_str,sig_clinch_str,sig_solo_str,method_ko_tko,method_dec,method_fin,golpes_sig_conectados,golpes_sig_absorvidos,media_quedas,media_fin,defesa_golpes_sig,defesa_quedas,media_knockdowns,tempo_medio,sig_head_str,sig_body_str,sig_leg_str,idade_lutador,altura_lutador,peso_lutador,link_corpo,link_rosto
1961,aaron rosa,,M,Peso meio-pesado,17,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,76.0,205.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1963,chris cope,C-Murder,M,Peso Meio-Médio,5,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,0.0,171.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1964,john-olav einemo,The Viking,M,Peso-pesado,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,78.0,253.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1965,jorge rivera,El Conquistador,M,Peso-médio,19,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,51,73.0,186.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1966,joseph sandoval,,M,Peso-galo,6,2,0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,1.82,12.12,0.0,0.0,0.61,0.0,0.0,50,0.03,0.0,0.0,37,67.0,135.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1967,christian morecraft,,M,Peso-pesado,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,78.0,256.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1968,eric schafer,Ravishing Red,M,Peso-médio,14,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,75.0,185.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1969,daniel roberts,Ninja,M,Peso Meio-Médio,12,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,70.0,171.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1970,junior assuncao,,M,Peso-pena,14,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,69.0,145.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1971,claude patrick,The Prince,M,Peso Meio-Médio,14,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,71.0,171.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1972,krzysztof soszynski,The Polish Experiment,M,Peso meio-pesado,22,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,73.0,206.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1973,rich attonito,The Raging Bull,M,Peso Meio-Médio,10,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,46,70.0,171.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1974,dennis hallman,Superman,M,Peso-leve,66,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,69.0,159.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1975,stephen bass,Bigfish,M,Peso-pena,10,1,0,0.52,0.81,0.18,0.01,0.0,0.0,0.0,4.87,5.87,0.0,0.0,0.55,0.0,0.0,900,0.39,0.24,0.1,40,69.0,145.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1976,dustin neace,The Beast,M,Peso-pena,23,18,1,0.33,0.83,0.0,0.17,0.0,0.0,0.0,2.08,2.66,0.0,1.74,0.57,0.0,0.0,309,0.1,0.04,0.04,36,69.0,146.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1977,jason brilz,Hitman,M,Peso meio-pesado,18,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47,71.0,204.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1978,nick  pace,,M,Peso-galo,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,66.0,141.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1979,shamar bailey,,M,Peso-leve,12,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,69.0,158.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1980,clay harvison,Heavy Metal,M,Peso Meio-Médio,9,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,72.0,169.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1981,cole escovedo,Apache Kid,M,Peso-galo,17,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,68.0,134.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1982,matt lucas,Luke Duke,M,Peso meio-pesado,14,3,0,0.49,0.74,0.21,0.05,0.0,0.0,0.0,1.27,3.93,1.0,0.0,0.4,0.0,0.0,900,0.19,0.0,0.0,0,73.0,203.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1983,rob broughton,The Bear,M,Peso-pesado,15,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,74.0,258.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1984,edward faaloloto,Falo,M,Peso-leve,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,38,69.0,155.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1985,tyson griffin,,M,Peso-pena,15,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39,66.0,148.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1986,eliot marshall,The Fire,M,Peso meio-pesado,11,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,44,75.0,204.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1987,dan downes,Danny Boy,M,Peso-leve,8,3,0,0.34,0.41,0.33,0.26,0.0,0.0,0.0,1.66,3.53,0.0,0.53,0.37,0.37,0.0,842,0.48,0.32,0.13,37,72.0,155.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1988,kenny florian,KenFlo,M,Peso-pena,16,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47,70.0,145.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1989,matt hughes,,M,Peso Meio-Médio,46,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,49,69.0,170.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1990,ricardo romero,,M,Peso meio-pesado,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,72.0,205.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1991,mike  lullo,,M,Peso-pena,8,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,68.0,146.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1992,ian loveland,The Barn Owl,M,Peso-galo,14,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,39,68.0,135.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1993,chris lytle,Lights Out,M,Peso Meio-Médio,41,18,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,48,71.0,171.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1994,tj o'brien,The Spider,M,Peso-leve,16,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,74.0,156.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://ufc.com/images/styles/event_results_athlete_headshot/s3/image/fighter_images/TJ_Obrien/tj_obrien_head.png?VersionId=x9uhsVC_EI9wSWfS5etSXYuc0cEJ6yhm&itok=GIceD7yz
1995,jason reinhardt,,M,Peso-galo,20,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,53,66.0,135.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1996,andre winner,,M,Peso-leve,12,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,71.0,155.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1997,joe stevenson,Daddy,M,Peso-pena,36,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,67.0,146.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1998,javier vazquez,Showtime,M,Peso-pena,16,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,67.0,146.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
1999,curt warburton,The War,M,Peso-leve,7,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,72.0,156.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2000,shane carwin,,M,Peso-pesado,12,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,48,74.0,254.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2001,jesse bongfeldt,Water,M,Peso-médio,15,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,72.0,185.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2002,chuck o'neil,Cold Steel,M,Peso Meio-Médio,8,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,74.0,170.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2003,ryan  mcgilivray,The Kid,M,Peso Meio-Médio,11,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,36,71.0,169.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2004,tim credeur,Crazy,M,Peso-médio,13,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,75.0,185.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2005,kendall grove,Da Spyder,M,Peso-médio,14,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40,78.0,185.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2006,randy couture,The Natural,M,Peso meio-pesado,19,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,59,74.0,204.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2007,charlie valencia,,M,Peso-galo,12,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,48,63.0,136.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2008,ryan jensen,,M,Peso-médio,16,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,45,73.0,185.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2009,kyle watson,,M,Peso-leve,16,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,72.0,155.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2010,jon madsen,,M,Peso-pesado,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,72.0,261.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2011,sean mccorkle,Big Sexy,M,Peso-pesado,10,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,46,79.0,266.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2012,mario miranda,,M,Peso-médio,12,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,43,76.0,185.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2013,waylon lowe,,M,Peso-leve,10,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,67.0,156.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2014,kris mccray,Savage,M,Peso Meio-Médio,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,41,72.0,170.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
2015,ricardo almeida,Big Dog,M,Peso Meio-Médio,13,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,46,72.0,170.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW734W8l_2Kc-8YlsF-GSBf-2UTEBO36LWfQ&s
